municipio,provincia,municipio_nombre_humano,precio_m2_alquiler,num_casas_alquiler
Golosalvo,Albacete,Golosalvo,-,0
Hellín,Albacete,Hellín,7.44,2
Herrera (La),Albacete,La Herrera,-,0
Higueruela,Albacete,Higueruela,12.5,1
Hoya-Gonzalo,Albacete,Hoya-Gonzalo,-,0
Jorquera,Albacete,Jorquera,-,0
Letur,Albacete,Letur,-,0
Lezuza,Albacete,Lezuza,-,0
Liétor,Albacete,Liétor,-,0
Madrigueras,Albacete,Madrigueras,3.21,1
Mahora,Albacete,Mahora,-,0
Masegoso,Albacete,Masegoso,-,0
Minaya,Albacete,Minaya,-,0
Molinicos,Albacete,Molinicos,-,0
Montalvos,Albacete,Montalvos,-,0
Montealegre del Castillo,Albacete,Montealegre del Castillo,2.69,1
Motilleja,Albacete,Motilleja,-,0
Munera,Albacete,Munera,4.27,1
Navas de Jorquera,Albacete,Navas de Jorquera,-,0
Nerpio,Albacete,Nerpio,3.65,3
Ontur,Albacete,Ontur,-,0
Ossa de Montiel,Albacete,Ossa de Montiel,-,0
Paterna del Madera,Albacete,Paterna del Madera,-,0
Peñas de San Pedro,Albacete,Peñas de San Pedro,-,0
Peñascosa,Albacete,Peñascosa,-,0
Pétrola,Albacete,Pétrola,-,0
Povedilla,Albacete,Povedilla,-,0
Pozo Cañada,Albacete,Pozo Cañada,4.53,2
Pozohondo,Albacete,Pozohondo,-,0
Pozo-Lorente,Albacete,Pozo-Lorente,-,0
Pozuelo,Albacete,Pozuelo,-,0
Recueja (La),Albacete,La Recueja,-,0
Riópar,Albacete,Riópar,3.69,2
Robledo,Albacete,Robledo,-,0
Roda (La),Albacete,La Roda,4.69,1
Salobre,Albacete,Salobre,-,0
San Pedro,Albacete,San Pedro,-,0
Socovos,Albacete,Socovos,2.25,1
Tarazona de la Mancha,Albacete,Tarazona de la Mancha,3.11,2
Tobarra,Albacete,Tobarra,3.96,2
Valdeganga,Albacete,Valdeganga,2.77,2
Vianos,Albacete,Vianos,-,0
Villa de Ves,Albacete,Villa de Ves,-,0
Villalgordo del Júcar,Albacete,Villalgordo del Júcar,-,0
Villamalea,Albacete,Villamalea,-,0
Villapalacios,Albacete,Villapalacios,-,0
Villarrobledo,Albacete,Villarrobledo,3.46,7
Villatoya,Albacete,Villatoya,-,0
Villavaliente,Albacete,Villavaliente,4.5,1
Villaverde de Guadalimar,Albacete,Villaverde de Guadalimar,5.62,2
Viveros,Albacete,Viveros,-,0
Yeste,Albacete,Yeste,3.64,3
Agost,Alicante,Agost,2.59,1
Agres,Alicante,Agres,6.0,1
Aigües,Alicante,Aigües,6.16,8
Albatera,Alicante,Albatera,7.12,4
Alcalalí,Alicante,Alcalalí,-,0
Alcocer de Planes,Alicante,Alcocer de Planes,-,0
Alcoleja,Alicante,Alcoleja,-,0
Alcoy/Alcoi,Alicante,Alcoy/Alcoi,-,0
Alfafara,Alicante,Alfafara,-,0
Alfàs del Pi (l'),Alicante,L' Alfàs del Pi,-,0
Algorfa,Alicante,Algorfa,4.97,6
Algueña,Alicante,Algueña,2.22,1
Alicante/Alacant,Alicante,Alicante/Alacant,-,0
Almoradí,Alicante,Almoradí,4.8,13
Almudaina,Alicante,Almudaina,-,0
Alqueria d'Asnar (l'),Alicante,L' Alqueria d'Asnar,-,0
Altea,Alicante,Altea,-,132
Aspe,Alicante,Aspe,4.61,3
Atzúbia (l'),Alicante,L' Atzúbia,-,0
Balones,Alicante,Balones,1.0,1
Banyeres de Mariola,Alicante,Banyeres de Mariola,-,0
Benasau,Alicante,Benasau,-,0
Beneixama,Alicante,Beneixama,-,0
Benejúzar,Alicante,Benejúzar,-,0
Benferri,Alicante,Benferri,-,0
Beniarbeig,Alicante,Beniarbeig,-,0
Beniardá,Alicante,Beniardá,-,0
Beniarrés,Alicante,Beniarrés,-,0
Benidoleig,Alicante,Benidoleig,5.45,1
Benidorm,Alicante,Benidorm,17.74,191
Benifallim,Alicante,Benifallim,-,0
Benifato,Alicante,Benifato,-,0
Benigembla,Alicante,Benigembla,-,0
Benijófar,Alicante,Benijófar,-,0
Benilloba,Alicante,Benilloba,-,0
Benillup,Alicante,Benillup,-,0
Benimantell,Alicante,Benimantell,-,0
Benimarfull,Alicante,Benimarfull,-,0
Benimassot,Alicante,Benimassot,-,0
Benimeli,Alicante,Benimeli,-,0
Benissa,Alicante,Benissa,11.12,17
Benitachell/Poble Nou de Benitatxell (el),Alicante,El Benitachell/Poble Nou de Benitatxell,-,0
Biar,Alicante,Biar,-,0
Bigastro,Alicante,Bigastro,-,0
Bolulla,Alicante,Bolulla,-,0
Busot,Alicante,Busot,12.5,1
Callosa de Segura,Alicante,Callosa de Segura,4.69,4
Callosa d'en Sarrià,Alicante,Callosa d'en Sarrià,-,0
Calp,Alicante,Calp,-,0
Campello (el),Alicante,El Campello,-,112
Campo de Mirra/Camp de Mirra (el),Alicante,El Campo de Mirra/Camp de Mirra,-,0
Cañada,Alicante,Cañada,-,0
Castalla,Alicante,Castalla,6.88,3
Castell de Castells,Alicante,Castell de Castells,2.92,1
Castell de Guadalest (el),Alicante,El Castell de Guadalest,-,0
Catral,Alicante,Catral,6.81,3
Cocentaina,Alicante,Cocentaina,8.33,2
Confrides,Alicante,Confrides,-,0
Cox,Alicante,Cox,5.87,2
Crevillent,Alicante,Crevillent,-,0
Daya Nueva,Alicante,Daya Nueva,-,0
Daya Vieja,Alicante,Daya Vieja,-,0
Dénia,Alicante,Dénia,11.54,190
Dolores,Alicante,Dolores,5.97,5
Elche/Elx,Alicante,Elche/Elx,-,0
Elda,Alicante,Elda,5.31,18
Facheca,Alicante,Facheca,-,0
Famorca,Alicante,Famorca,-,0
Finestrat,Alicante,Finestrat,20.27,33
Fondó de les Neus (el)/Hondón de las Nieves,Alicante,El Fondó de les Neus/Hondón de las Nieves,4.32,1
Formentera del Segura,Alicante,Formentera del Segura,5.68,3
Gaianes,Alicante,Gaianes,-,0
Gata de Gorgos,Alicante,Gata de Gorgos,7.63,3
Gorga,Alicante,Gorga,-,0
Granja de Rocamora,Alicante,Granja de Rocamora,-,0
Guardamar del Segura,Alicante,Guardamar del Segura,9.83,94
Hondón de los Frailes,Alicante,Hondón de los Frailes,-,0
Ibi,Alicante,Ibi,3.57,6
Jacarilla,Alicante,Jacarilla,-,0
Jávea/Xàbia,Alicante,Jávea/Xàbia,-,0
Jijona/Xixona,Alicante,Jijona/Xixona,-,0
Llíber,Alicante,Llíber,6.25,1
Lorcha/Orxa (l'),Alicante,L' Lorcha/Orxa,-,0
Millena,Alicante,Millena,-,0
Monforte del Cid,Alicante,Monforte del Cid,4.86,5
Monóvar/Monòver,Alicante,Monóvar/Monòver,-,0
Montesinos (Los),Alicante,Los Montesinos,-,0
Murla,Alicante,Murla,-,0
Muro de Alcoy,Alicante,Muro de Alcoy,-,0
Mutxamel,Alicante,Mutxamel,8.08,24
Novelda,Alicante,Novelda,3.69,2
Nucia (la),Alicante,La Nucia,8.71,21
Ondara,Alicante,Ondara,4.33,1
Onil,Alicante,Onil,3.8,4
Orba,Alicante,Orba,-,0
Orihuela,Alicante,Orihuela,-,183
Orxeta,Alicante,Orxeta,-,0
Parcent,Alicante,Parcent,-,0
Pedreguer,Alicante,Pedreguer,10.2,6
Pego,Alicante,Pego,13.12,12
Penàguila,Alicante,Penàguila,-,0
Petrer,Alicante,Petrer,5.45,7
Pilar de la Horadada,Alicante,Pilar de la Horadada,8.27,97
Pinós (el)/Pinoso,Alicante,El Pinós/Pinoso,-,0
Planes,Alicante,Planes,-,0
Poblets (els),Alicante,Els Poblets,11.81,3
Polop,Alicante,Polop,10.23,3
Quatretondeta,Alicante,Quatretondeta,-,0
Rafal,Alicante,Rafal,3.62,1
Ràfol d'Almúnia (el),Alicante,El Ràfol d'Almúnia,-,0
Redován,Alicante,Redován,7.91,3
Relleu,Alicante,Relleu,8.0,2
Rojales,Alicante,Rojales,7.2,7
Romana (la),Alicante,La Romana,9.0,1
Sagra,Alicante,Sagra,-,0
Salinas,Alicante,Salinas,-,0
San Fulgencio,Alicante,San Fulgencio,12.84,2
San Isidro,Alicante,San Isidro,-,0
San Miguel de Salinas,Alicante,San Miguel de Salinas,6.9,9
San Vicente del Raspeig/Sant Vicent del Raspeig,Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig,-,0
Sanet y Negrals,Alicante,Sanet y Negrals,-,0
Sant Joan d'Alacant,Alicante,Sant Joan d'Alacant,-,0
Santa Pola,Alicante,Santa Pola,16.82,119
Sax,Alicante,Sax,4.18,4
Sella,Alicante,Sella,-,0
Senija,Alicante,Senija,3.72,1
Tàrbena,Alicante,Tàrbena,-,0
Teulada,Alicante,Teulada,6.94,3
Tibi,Alicante,Tibi,7.25,4
Tollos,Alicante,Tollos,-,0
Tormos,Alicante,Tormos,-,0
Torremanzanas/Torre de les Maçanes (la),Alicante,La Torremanzanas/Torre de les Maçanes,-,0
Torrevieja,Alicante,Torrevieja,-,291
Vall d'Alcalà (la),Alicante,La Vall d'Alcalà,-,0
Vall de Gallinera,Alicante,Vall de Gallinera,-,0
Vall de Laguar (la),Alicante,La Vall de Laguar,-,0
Vall d'Ebo (la),Alicante,La Vall d'Ebo,-,0
Verger (el),Alicante,El Verger,8.15,9
Villajoyosa/Vila Joiosa (la),Alicante,La Villajoyosa/Vila Joiosa,-,0
Villena,Alicante,Villena,10.0,1
Xaló,Alicante,Xaló,-,0
Abla,Almería,Abla,3.64,1
Abrucena,Almería,Abrucena,-,0
Adra,Almería,Adra,6.8,44
Albanchez,Almería,Albanchez,-,0
Alboloduy,Almería,Alboloduy,-,0
Albox,Almería,Albox,4.67,14
Alcolea,Almería,Alcolea,-,0
Alcóntar,Almería,Alcóntar,-,0
Alcudia de Monteagud,Almería,Alcudia de Monteagud,-,0
Alhabia,Almería,Alhabia,-,0
Alhama de Almería,Almería,Alhama de Almería,5.33,2
Alicún,Almería,Alicún,-,0
Almería,Almería,Almería,-,452
Almócita,Almería,Almócita,-,0
Alsodux,Almería,Alsodux,-,0
Antas,Almería,Antas,10.42,2
Arboleas,Almería,Arboleas,6.25,2
Armuña de Almanzora,Almería,Armuña de Almanzora,-,0
Bacares,Almería,Bacares,-,0
Balanegra,Almería,Balanegra,7.4,5
Bayárcal,Almería,Bayárcal,-,0
Bayarque,Almería,Bayarque,-,0
Bédar,Almería,Bédar,-,0
Beires,Almería,Beires,-,0
Benahadux,Almería,Benahadux,-,0
Benitagla,Almería,Benitagla,-,0
Benizalón,Almería,Benizalón,-,0
Bentarique,Almería,Bentarique,-,0
Berja,Almería,Berja,3.5,3
Canjáyar,Almería,Canjáyar,-,0
Cantoria,Almería,Cantoria,6.18,4
Carboneras,Almería,Carboneras,6.38,45
Castro de Filabres,Almería,Castro de Filabres,-,0
Chercos,Almería,Chercos,-,0
Chirivel,Almería,Chirivel,-,0
Cóbdar,Almería,Cóbdar,-,0
Cuevas del Almanzora,Almería,Cuevas del Almanzora,6.64,18
Dalías,Almería,Dalías,-,0
Ejido (El),Almería,El Ejido,-,71
Enix,Almería,Enix,-,0
Felix,Almería,Felix,6.88,2
Fines,Almería,Fines,3.04,1
Fiñana,Almería,Fiñana,4.97,2
Fondón,Almería,Fondón,4.55,1
Gádor,Almería,Gádor,-,0
Gallardos (Los),Almería,Los Gallardos,-,0
Garrucha,Almería,Garrucha,6.49,39
Gérgal,Almería,Gérgal,-,0
Huécija,Almería,Huécija,-,0
Huércal de Almería,Almería,Huércal de Almería,6.34,5
Huércal-Overa,Almería,Huércal-Overa,4.98,7
Íllar,Almería,Íllar,-,0
Instinción,Almería,Instinción,5.44,2
Laroya,Almería,Laroya,-,0
Láujar de Andarax,Almería,Láujar de Andarax,5.67,2
Líjar,Almería,Líjar,3.41,3
Lubrín,Almería,Lubrín,4.17,1
Lucainena de las Torres,Almería,Lucainena de las Torres,-,0
Lúcar,Almería,Lúcar,-,0
Macael,Almería,Macael,3.63,4
María,Almería,María,-,0
Mojácar,Almería,Mojácar,10.77,52
Mojonera (La),Almería,La Mojonera,-,0
Nacimiento,Almería,Nacimiento,-,0
Níjar,Almería,Níjar,10.86,27
Ohanes,Almería,Ohanes,4.19,3
Olula de Castro,Almería,Olula de Castro,-,0
Olula del Río,Almería,Olula del Río,4.21,2
Oria,Almería,Oria,-,0
Padules,Almería,Padules,-,0
Partaloa,Almería,Partaloa,-,0
Paterna del Río,Almería,Paterna del Río,-,0
Pechina,Almería,Pechina,3.04,1
Pulpí,Almería,Pulpí,6.13,8
Purchena,Almería,Purchena,-,0
Rágol,Almería,Rágol,-,0
Rioja,Almería,Rioja,-,0
Roquetas de Mar,Almería,Roquetas de Mar,7.43,327
Santa Cruz de Marchena,Almería,Santa Cruz de Marchena,-,0
Santa Fe de Mondújar,Almería,Santa Fe de Mondújar,-,0
Senés,Almería,Senés,-,0
Serón,Almería,Serón,3.09,1
Sierro,Almería,Sierro,-,0
Somontín,Almería,Somontín,8.0,1
Sorbas,Almería,Sorbas,7.83,3
Suflí,Almería,Suflí,-,0
Tabernas,Almería,Tabernas,6.67,1
Taberno,Almería,Taberno,4.72,1
Tahal,Almería,Tahal,-,0
Terque,Almería,Terque,-,0
Tíjola,Almería,Tíjola,3.33,1
Tres Villas (Las),Almería,Las Tres Villas,-,0
Turre,Almería,Turre,6.8,1
Turrillas,Almería,Turrillas,-,0
Uleila del Campo,Almería,Uleila del Campo,-,0
Urrácal,Almería,Urrácal,-,0
Velefique,Almería,Velefique,-,0
Vélez-Blanco,Almería,Vélez-Blanco,4.92,2
Vélez-Rubio,Almería,Vélez-Rubio,3.57,5
Vera,Almería,Vera,10.88,224
Viator,Almería,Viator,6.57,4
Vícar,Almería,Vícar,7.02,16
Zurgena,Almería,Zurgena,-,0
Adanero,Ávila,Adanero,-,0
Adrada (La),Ávila,La Adrada,4.53,10
Albornos,Ávila,Albornos,-,0
Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz,3.83,1
Aldeaseca,Ávila,Aldeaseca,-,0
Aldehuela (La),Ávila,La Aldehuela,-,0
Amavida,Ávila,Amavida,-,0
Arenal (El),Ávila,El Arenal,-,0
Arenas de San Pedro,Ávila,Arenas de San Pedro,4.11,16
Arevalillo,Ávila,Arevalillo,-,0
Arévalo,Ávila,Arévalo,3.95,5
Aveinte,Ávila,Aveinte,-,0
Avellaneda,Ávila,Avellaneda,-,0
Ávila,Ávila,Ávila,6.27,132
Barco de Ávila (El),Ávila,El Barco de Ávila,5.01,4
Barraco (El),Ávila,El Barraco,-,0
Barromán,Ávila,Barromán,-,0
Becedas,Ávila,Becedas,-,0
Becedillas,Ávila,Becedillas,-,0
Bercial de Zapardiel,Ávila,Bercial de Zapardiel,-,0
Berlanas (Las),Ávila,Las Berlanas,-,0
Bernuy-Zapardiel,Ávila,Bernuy-Zapardiel,-,0
Berrocalejo de Aragona,Ávila,Berrocalejo de Aragona,-,0
Blascomillán,Ávila,Blascomillán,-,0
Blasconuño de Matacabras,Ávila,Blasconuño de Matacabras,-,0
Blascosancho,Ávila,Blascosancho,-,0
Bohodón (El),Ávila,El Bohodón,-,0
Bohoyo,Ávila,Bohoyo,3.57,1
Bonilla de la Sierra,Ávila,Bonilla de la Sierra,3.0,1
Brabos,Ávila,Brabos,-,0
Bularros,Ávila,Bularros,-,0
Burgohondo,Ávila,Burgohondo,8.33,1
Cabezas de Alambre,Ávila,Cabezas de Alambre,-,0
Cabezas del Pozo,Ávila,Cabezas del Pozo,-,0
Cabezas del Villar,Ávila,Cabezas del Villar,12.5,1
Cabizuela,Ávila,Cabizuela,-,0
Canales,Ávila,Canales,-,0
Candeleda,Ávila,Candeleda,7.08,3
Cantiveros,Ávila,Cantiveros,-,0
Cardeñosa,Ávila,Cardeñosa,-,0
Carrera (La),Ávila,La Carrera,-,0
Casas del Puerto,Ávila,Casas del Puerto,-,0
Casasola,Ávila,Casasola,-,0
Casavieja,Ávila,Casavieja,6.67,1
Casillas,Ávila,Casillas,-,0
Castellanos de Zapardiel,Ávila,Castellanos de Zapardiel,-,0
Cebreros,Ávila,Cebreros,9.38,1
Cepeda la Mora,Ávila,Cepeda la Mora,-,0
Chamartín,Ávila,Chamartín,-,0
Cillán,Ávila,Cillán,-,0
Cisla,Ávila,Cisla,-,0
Colilla (La),Ávila,La Colilla,-,0
Collado de Contreras,Ávila,Collado de Contreras,-,0
Collado del Mirón,Ávila,Collado del Mirón,-,0
Constanzana,Ávila,Constanzana,-,0
Crespos,Ávila,Crespos,-,0
Cuevas del Valle,Ávila,Cuevas del Valle,3.33,1
Diego del Carpio,Ávila,Diego del Carpio,-,0
Donjimeno,Ávila,Donjimeno,-,0
Donvidas,Ávila,Donvidas,-,0
Espinosa de los Caballeros,Ávila,Espinosa de los Caballeros,-,0
Flores de Ávila,Ávila,Flores de Ávila,-,0
Fontiveros,Ávila,Fontiveros,-,0
Fresnedilla,Ávila,Fresnedilla,-,0
Fresno (El),Ávila,El Fresno,-,0
Fuente el Saúz,Ávila,Fuente el Saúz,-,0
Fuentes de Año,Ávila,Fuentes de Año,-,0
Gallegos de Altamiros,Ávila,Gallegos de Altamiros,-,0
Gallegos de Sobrinos,Ávila,Gallegos de Sobrinos,10.0,1
Garganta del Villar,Ávila,Garganta del Villar,-,0
Gavilanes,Ávila,Gavilanes,3.75,2
Gemuño,Ávila,Gemuño,-,0
Gil García,Ávila,Gil García,-,0
Gilbuena,Ávila,Gilbuena,-,0
Gimialcón,Ávila,Gimialcón,-,0
Gotarrendura,Ávila,Gotarrendura,-,0
Grandes y San Martín,Ávila,Grandes y San Martín,-,0
Guisando,Ávila,Guisando,-,0
Gutierre-Muñoz,Ávila,Gutierre-Muñoz,-,0
Hernansancho,Ávila,Hernansancho,-,0
Herradón de Pinares,Ávila,Herradón de Pinares,-,0
Herreros de Suso,Ávila,Herreros de Suso,-,0
Higuera de las Dueñas,Ávila,Higuera de las Dueñas,-,0
Hija de Dios (La),Ávila,La Hija de Dios,-,0
Horcajada (La),Ávila,La Horcajada,-,0
Horcajo de las Torres,Ávila,Horcajo de las Torres,-,0
Hornillo (El),Ávila,El Hornillo,-,0
Hoyo de Pinares (El),Ávila,El Hoyo de Pinares,4.38,1
Hoyocasero,Ávila,Hoyocasero,-,0
Hoyorredondo,Ávila,Hoyorredondo,-,0
Hoyos de Miguel Muñoz,Ávila,Hoyos de Miguel Muñoz,-,0
Hoyos del Collado,Ávila,Hoyos del Collado,-,0
Hoyos del Espino,Ávila,Hoyos del Espino,-,0
Hurtumpascual,Ávila,Hurtumpascual,-,0
Junciana,Ávila,Junciana,-,0
Langa,Ávila,Langa,-,0
Lanzahíta,Ávila,Lanzahíta,5.2,1
Llanos de Tormes (Los),Ávila,Los Llanos de Tormes,-,0
Losar del Barco (El),Ávila,El Losar del Barco,-,0
Madrigal de las Altas Torres,Ávila,Madrigal de las Altas Torres,-,0
Maello,Ávila,Maello,-,0
Malpartida de Corneja,Ávila,Malpartida de Corneja,-,0
Mamblas,Ávila,Mamblas,-,0
Mancera de Arriba,Ávila,Mancera de Arriba,-,0
Manjabálago y Ortigosa de Rioalmar,Ávila,Manjabálago y Ortigosa de Rioalmar,-,0
Marlín,Ávila,Marlín,-,0
Martiherrero,Ávila,Martiherrero,-,0
Martínez,Ávila,Martínez,-,0
Mediana de Voltoya,Ávila,Mediana de Voltoya,-,0
Medinilla,Ávila,Medinilla,-,0
Mengamuñoz,Ávila,Mengamuñoz,-,0
Mesegar de Corneja,Ávila,Mesegar de Corneja,-,0
Mijares,Ávila,Mijares,5.0,1
Mingorría,Ávila,Mingorría,7.85,2
Mirón (El),Ávila,El Mirón,-,0
Mironcillo,Ávila,Mironcillo,-,0
Mirueña de los Infanzones,Ávila,Mirueña de los Infanzones,-,0
Mombeltrán,Ávila,Mombeltrán,-,0
Monsalupe,Ávila,Monsalupe,-,0
Moraleja de Matacabras,Ávila,Moraleja de Matacabras,-,0
Muñana,Ávila,Muñana,2.5,1
Muñico,Ávila,Muñico,-,0
Muñogalindo,Ávila,Muñogalindo,-,0
Muñogrande,Ávila,Muñogrande,-,0
Muñomer del Peco,Ávila,Muñomer del Peco,-,0
Muñopepe,Ávila,Muñopepe,-,0
Muñosancho,Ávila,Muñosancho,-,0
Muñotello,Ávila,Muñotello,-,0
Narrillos del Álamo,Ávila,Narrillos del Álamo,-,0
Narrillos del Rebollar,Ávila,Narrillos del Rebollar,-,0
Narros de Saldueña,Ávila,Narros de Saldueña,-,0
Narros del Castillo,Ávila,Narros del Castillo,-,0
Narros del Puerto,Ávila,Narros del Puerto,-,0
Nava de Arévalo,Ávila,Nava de Arévalo,1.87,1
Nava del Barco,Ávila,Nava del Barco,-,0
Navacepedilla de Corneja,Ávila,Navacepedilla de Corneja,-,0
Navadijos,Ávila,Navadijos,-,0
Navaescurial,Ávila,Navaescurial,-,0
Navahondilla,Ávila,Navahondilla,6.77,2
Navalacruz,Ávila,Navalacruz,-,0
Navalmoral,Ávila,Navalmoral,3.45,2
Navalonguilla,Ávila,Navalonguilla,-,0
Navalosa,Ávila,Navalosa,-,0
Navalperal de Pinares,Ávila,Navalperal de Pinares,4.0,1
Navalperal de Tormes,Ávila,Navalperal de Tormes,-,0
Navaluenga,Ávila,Navaluenga,5.84,11
Navaquesera,Ávila,Navaquesera,-,0
Navarredonda de Gredos,Ávila,Navarredonda de Gredos,7.22,1
Navarredondilla,Ávila,Navarredondilla,-,0
Navarrevisca,Ávila,Navarrevisca,-,0
Navas del Marqués (Las),Ávila,Las Navas del Marqués,-,11
Navatalgordo,Ávila,Navatalgordo,-,0
Navatejares,Ávila,Navatejares,-,0
Neila de San Miguel,Ávila,Neila de San Miguel,-,0
Niharra,Ávila,Niharra,-,0
Ojos-Albos,Ávila,Ojos-Albos,-,0
Orbita,Ávila,Orbita,-,0
Oso (El),Ávila,El Oso,-,0
Padiernos,Ávila,Padiernos,-,0
Pajares de Adaja,Ávila,Pajares de Adaja,-,0
Palacios de Goda,Ávila,Palacios de Goda,-,0
Papatrigo,Ávila,Papatrigo,-,0
Parral (El),Ávila,El Parral,-,0
Pascualcobo,Ávila,Pascualcobo,-,0
Pedro Bernardo,Ávila,Pedro Bernardo,2.5,1
Pedro-Rodríguez,Ávila,Pedro-Rodríguez,-,0
Peguerinos,Ávila,Peguerinos,4.62,3
Peñalba de Ávila,Ávila,Peñalba de Ávila,-,0
Piedrahíta,Ávila,Piedrahíta,6.35,5
Piedralaves,Ávila,Piedralaves,5.16,5
Poveda,Ávila,Poveda,-,0
Poyales del Hoyo,Ávila,Poyales del Hoyo,3.47,3
Pozanco,Ávila,Pozanco,-,0
Pradosegar,Ávila,Pradosegar,-,0
Puerto Castilla,Ávila,Puerto Castilla,-,0
Rasueros,Ávila,Rasueros,-,0
Riocabado,Ávila,Riocabado,-,0
Riofrío,Ávila,Riofrío,-,0
Rivilla de Barajas,Ávila,Rivilla de Barajas,-,0
Salobral,Ávila,Salobral,-,0
Salvadiós,Ávila,Salvadiós,-,0
San Bartolomé de Béjar,Ávila,San Bartolomé de Béjar,-,0
San Bartolomé de Corneja,Ávila,San Bartolomé de Corneja,-,0
San Bartolomé de Pinares,Ávila,San Bartolomé de Pinares,-,0
San Esteban de los Patos,Ávila,San Esteban de los Patos,-,0
