municipio,provincia,municipio_nombre_humano
Salobre,Albacete,Salobre
San Pedro,Albacete,San Pedro
Socovos,Albacete,Socovos
Tarazona de la Mancha,Albacete,Tarazona de la Mancha
Tobarra,Albacete,Tobarra
Valdeganga,Albacete,Valdeganga
Vianos,Albacete,Vianos
Villa de Ves,Albacete,Villa de Ves
Villalgordo del Júcar,Albacete,Villalgordo del Júcar
Villamalea,Albacete,Villamalea
Villapalacios,Albacete,Villapalacios
Villarrobledo,Albacete,Villarrobledo
Villatoya,Albacete,Villatoya
Villavaliente,Albacete,Villavaliente
Villaverde de Guadalimar,Albacete,Villaverde de Guadalimar
Viveros,Albacete,Viveros
Yeste,Albacete,Yeste
Agost,Alicante,Agost
Agres,Alicante,Agres
Aigües,Alicante,Aigües
Albatera,Alicante,Albatera
Alcalalí,Alicante,Alcalalí
Alcocer de Planes,Alicante,Alcocer de Planes
Alcoleja,Alicante,Alcoleja
Alcoy/Alcoi,Alicante,Alcoy/Alcoi
Alfafara,Alicante,Alfafara
Alfàs del Pi (l'),Alicante,L' Alfàs del Pi
Algorfa,Alicante,Algorfa
Algueña,Alicante,Algueña
Alicante/Alacant,Alicante,Alicante/Alacant
Almoradí,Alicante,Almoradí
Almudaina,Alicante,Almudaina
Alqueria d'Asnar (l'),Alicante,L' Alqueria d'Asnar
Altea,Alicante,Altea
Aspe,Alicante,Aspe
Atzúbia (l'),Alicante,L' Atzúbia
Balones,Alicante,Balones
Banyeres de Mariola,Alicante,Banyeres de Mariola
Benasau,Alicante,Benasau
Beneixama,Alicante,Beneixama
Benejúzar,Alicante,Benejúzar
Benferri,Alicante,Benferri
Beniarbeig,Alicante,Beniarbeig
Beniardá,Alicante,Beniardá
Beniarrés,Alicante,Beniarrés
Benidoleig,Alicante,Benidoleig
Benidorm,Alicante,Benidorm
Benifallim,Alicante,Benifallim
Benifato,Alicante,Benifato
Benigembla,Alicante,Benigembla
Benijófar,Alicante,Benijófar
Benilloba,Alicante,Benilloba
Benillup,Alicante,Benillup
Benimantell,Alicante,Benimantell
Benimarfull,Alicante,Benimarfull
Benimassot,Alicante,Benimassot
Benimeli,Alicante,Benimeli
Benissa,Alicante,Benissa
Benitachell/Poble Nou de Benitatxell (el),Alicante,El Benitachell/Poble Nou de Benitatxell
Biar,Alicante,Biar
Bigastro,Alicante,Bigastro
Bolulla,Alicante,Bolulla
Busot,Alicante,Busot
Callosa de Segura,Alicante,Callosa de Segura
Callosa d'en Sarrià,Alicante,Callosa d'en Sarrià
Calp,Alicante,Calp
Campello (el),Alicante,El Campello
Campo de Mirra/Camp de Mirra (el),Alicante,El Campo de Mirra/Camp de Mirra
Cañada,Alicante,Cañada
Castalla,Alicante,Castalla
Castell de Castells,Alicante,Castell de Castells
Castell de Guadalest (el),Alicante,El Castell de Guadalest
Catral,Alicante,Catral
Cocentaina,Alicante,Cocentaina
Confrides,Alicante,Confrides
Cox,Alicante,Cox
Crevillent,Alicante,Crevillent
Daya Nueva,Alicante,Daya Nueva
Daya Vieja,Alicante,Daya Vieja
Dénia,Alicante,Dénia
Dolores,Alicante,Dolores
Elche/Elx,Alicante,Elche/Elx
Elda,Alicante,Elda
Facheca,Alicante,Facheca
Famorca,Alicante,Famorca
Finestrat,Alicante,Finestrat
Fondó de les Neus (el)/Hondón de las Nieves,Alicante,El Fondó de les Neus/Hondón de las Nieves
Formentera del Segura,Alicante,Formentera del Segura
Gaianes,Alicante,Gaianes
Gata de Gorgos,Alicante,Gata de Gorgos
Gorga,Alicante,Gorga
Granja de Rocamora,Alicante,Granja de Rocamora
Guardamar del Segura,Alicante,Guardamar del Segura
Hondón de los Frailes,Alicante,Hondón de los Frailes
Ibi,Alicante,Ibi
Jacarilla,Alicante,Jacarilla
Jávea/Xàbia,Alicante,Jávea/Xàbia
Jijona/Xixona,Alicante,Jijona/Xixona
Llíber,Alicante,Llíber
Lorcha/Orxa (l'),Alicante,L' Lorcha/Orxa
Millena,Alicante,Millena
Monforte del Cid,Alicante,Monforte del Cid
Monóvar/Monòver,Alicante,Monóvar/Monòver
Montesinos (Los),Alicante,Los Montesinos
Murla,Alicante,Murla
Muro de Alcoy,Alicante,Muro de Alcoy
Mutxamel,Alicante,Mutxamel
Novelda,Alicante,Novelda
Nucia (la),Alicante,La Nucia
Ondara,Alicante,Ondara
Onil,Alicante,Onil
Orba,Alicante,Orba
Orihuela,Alicante,Orihuela
Orxeta,Alicante,Orxeta
Parcent,Alicante,Parcent
Pedreguer,Alicante,Pedreguer
Pego,Alicante,Pego
Penàguila,Alicante,Penàguila
Petrer,Alicante,Petrer
Pilar de la Horadada,Alicante,Pilar de la Horadada
Pinós (el)/Pinoso,Alicante,El Pinós/Pinoso
Planes,Alicante,Planes
Poblets (els),Alicante,Els Poblets
Polop,Alicante,Polop
Quatretondeta,Alicante,Quatretondeta
Rafal,Alicante,Rafal
Ràfol d'Almúnia (el),Alicante,El Ràfol d'Almúnia
Redován,Alicante,Redován
Relleu,Alicante,Relleu
Rojales,Alicante,Rojales
Romana (la),Alicante,La Romana
Sagra,Alicante,Sagra
Salinas,Alicante,Salinas
San Fulgencio,Alicante,San Fulgencio
San Isidro,Alicante,San Isidro
San Miguel de Salinas,Alicante,San Miguel de Salinas
San Vicente del Raspeig/Sant Vicent del Raspeig,Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig
Sanet y Negrals,Alicante,Sanet y Negrals
Sant Joan d'Alacant,Alicante,Sant Joan d'Alacant
Santa Pola,Alicante,Santa Pola
Sax,Alicante,Sax
Sella,Alicante,Sella
Senija,Alicante,Senija
Tàrbena,Alicante,Tàrbena
Teulada,Alicante,Teulada
Tibi,Alicante,Tibi
Tollos,Alicante,Tollos
Tormos,Alicante,Tormos
Torremanzanas/Torre de les Maçanes (la),Alicante,La Torremanzanas/Torre de les Maçanes
Torrevieja,Alicante,Torrevieja
Vall d'Alcalà (la),Alicante,La Vall d'Alcalà
Vall de Gallinera,Alicante,Vall de Gallinera
Vall de Laguar (la),Alicante,La Vall de Laguar
Vall d'Ebo (la),Alicante,La Vall d'Ebo
Verger (el),Alicante,El Verger
Villajoyosa/Vila Joiosa (la),Alicante,La Villajoyosa/Vila Joiosa
Villena,Alicante,Villena
Xaló,Alicante,Xaló
Abla,Almería,Abla
Abrucena,Almería,Abrucena
Adra,Almería,Adra
Albanchez,Almería,Albanchez
Alboloduy,Almería,Alboloduy
Albox,Almería,Albox
Alcolea,Almería,Alcolea
Alcóntar,Almería,Alcóntar
Alcudia de Monteagud,Almería,Alcudia de Monteagud
Alhabia,Almería,Alhabia
Alhama de Almería,Almería,Alhama de Almería
Alicún,Almería,Alicún
Almería,Almería,Almería
Almócita,Almería,Almócita
Alsodux,Almería,Alsodux
Antas,Almería,Antas
Arboleas,Almería,Arboleas
Armuña de Almanzora,Almería,Armuña de Almanzora
Bacares,Almería,Bacares
Balanegra,Almería,Balanegra
Bayárcal,Almería,Bayárcal
Bayarque,Almería,Bayarque
Bédar,Almería,Bédar
Beires,Almería,Beires
Benahadux,Almería,Benahadux
Benitagla,Almería,Benitagla
Benizalón,Almería,Benizalón
Bentarique,Almería,Bentarique
Berja,Almería,Berja
Canjáyar,Almería,Canjáyar
Cantoria,Almería,Cantoria
Carboneras,Almería,Carboneras
Castro de Filabres,Almería,Castro de Filabres
Chercos,Almería,Chercos
Chirivel,Almería,Chirivel
Cóbdar,Almería,Cóbdar
Cuevas del Almanzora,Almería,Cuevas del Almanzora
Dalías,Almería,Dalías
Ejido (El),Almería,El Ejido
Enix,Almería,Enix
Felix,Almería,Felix
Fines,Almería,Fines
Fiñana,Almería,Fiñana
Fondón,Almería,Fondón
Gádor,Almería,Gádor
Gallardos (Los),Almería,Los Gallardos
Garrucha,Almería,Garrucha
Gérgal,Almería,Gérgal
Huécija,Almería,Huécija
Huércal de Almería,Almería,Huércal de Almería
Huércal-Overa,Almería,Huércal-Overa
Íllar,Almería,Íllar
Instinción,Almería,Instinción
Laroya,Almería,Laroya
Láujar de Andarax,Almería,Láujar de Andarax
Líjar,Almería,Líjar
Lubrín,Almería,Lubrín
Lucainena de las Torres,Almería,Lucainena de las Torres
Lúcar,Almería,Lúcar
Macael,Almería,Macael
María,Almería,María
Mojácar,Almería,Mojácar
Mojonera (La),Almería,La Mojonera
Nacimiento,Almería,Nacimiento
Níjar,Almería,Níjar
Ohanes,Almería,Ohanes
Olula de Castro,Almería,Olula de Castro
Olula del Río,Almería,Olula del Río
Oria,Almería,Oria
Padules,Almería,Padules
Partaloa,Almería,Partaloa
Paterna del Río,Almería,Paterna del Río
Pechina,Almería,Pechina
Pulpí,Almería,Pulpí
Purchena,Almería,Purchena
Rágol,Almería,Rágol
Rioja,Almería,Rioja
Roquetas de Mar,Almería,Roquetas de Mar
Santa Cruz de Marchena,Almería,Santa Cruz de Marchena
Santa Fe de Mondújar,Almería,Santa Fe de Mondújar
Senés,Almería,Senés
Serón,Almería,Serón
Sierro,Almería,Sierro
Somontín,Almería,Somontín
Sorbas,Almería,Sorbas
Suflí,Almería,Suflí
Tabernas,Almería,Tabernas
Taberno,Almería,Taberno
Tahal,Almería,Tahal
Terque,Almería,Terque
Tíjola,Almería,Tíjola
Tres Villas (Las),Almería,Las Tres Villas
Turre,Almería,Turre
Turrillas,Almería,Turrillas
Uleila del Campo,Almería,Uleila del Campo
Urrácal,Almería,Urrácal
Velefique,Almería,Velefique
Vélez-Blanco,Almería,Vélez-Blanco
Vélez-Rubio,Almería,Vélez-Rubio
Vera,Almería,Vera
Viator,Almería,Viator
Vícar,Almería,Vícar
Zurgena,Almería,Zurgena
Adanero,Ávila,Adanero
Adrada (La),Ávila,La Adrada
Albornos,Ávila,Albornos
Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz
Aldeaseca,Ávila,Aldeaseca
Aldehuela (La),Ávila,La Aldehuela
Amavida,Ávila,Amavida
Arenal (El),Ávila,El Arenal
Arenas de San Pedro,Ávila,Arenas de San Pedro
Arevalillo,Ávila,Arevalillo
Arévalo,Ávila,Arévalo
Aveinte,Ávila,Aveinte
Avellaneda,Ávila,Avellaneda
Ávila,Ávila,Ávila
Barco de Ávila (El),Ávila,El Barco de Ávila
Barraco (El),Ávila,El Barraco
Barromán,Ávila,Barromán
Becedas,Ávila,Becedas
Becedillas,Ávila,Becedillas
Bercial de Zapardiel,Ávila,Bercial de Zapardiel
Berlanas (Las),Ávila,Las Berlanas
Bernuy-Zapardiel,Ávila,Bernuy-Zapardiel
Berrocalejo de Aragona,Ávila,Berrocalejo de Aragona
Blascomillán,Ávila,Blascomillán
Blasconuño de Matacabras,Ávila,Blasconuño de Matacabras
Blascosancho,Ávila,Blascosancho
Bohodón (El),Ávila,El Bohodón
Bohoyo,Ávila,Bohoyo
Bonilla de la Sierra,Ávila,Bonilla de la Sierra
Brabos,Ávila,Brabos
Bularros,Ávila,Bularros
Burgohondo,Ávila,Burgohondo
Cabezas de Alambre,Ávila,Cabezas de Alambre
Cabezas del Pozo,Ávila,Cabezas del Pozo
Cabezas del Villar,Ávila,Cabezas del Villar
Cabizuela,Ávila,Cabizuela
Canales,Ávila,Canales
Candeleda,Ávila,Candeleda
Cantiveros,Ávila,Cantiveros
Cardeñosa,Ávila,Cardeñosa
Carrera (La),Ávila,La Carrera
Casas del Puerto,Ávila,Casas del Puerto
Casasola,Ávila,Casasola
Casavieja,Ávila,Casavieja
Casillas,Ávila,Casillas
Castellanos de Zapardiel,Ávila,Castellanos de Zapardiel
Cebreros,Ávila,Cebreros
Cepeda la Mora,Ávila,Cepeda la Mora
Chamartín,Ávila,Chamartín
Cillán,Ávila,Cillán
Cisla,Ávila,Cisla
Colilla (La),Ávila,La Colilla
Collado de Contreras,Ávila,Collado de Contreras
Collado del Mirón,Ávila,Collado del Mirón
Constanzana,Ávila,Constanzana
Crespos,Ávila,Crespos
Cuevas del Valle,Ávila,Cuevas del Valle
Diego del Carpio,Ávila,Diego del Carpio
Donjimeno,Ávila,Donjimeno
Donvidas,Ávila,Donvidas
Espinosa de los Caballeros,Ávila,Espinosa de los Caballeros
Flores de Ávila,Ávila,Flores de Ávila
Fontiveros,Ávila,Fontiveros
Fresnedilla,Ávila,Fresnedilla
Fresno (El),Ávila,El Fresno
Fuente el Saúz,Ávila,Fuente el Saúz
Fuentes de Año,Ávila,Fuentes de Año
Gallegos de Altamiros,Ávila,Gallegos de Altamiros
Gallegos de Sobrinos,Ávila,Gallegos de Sobrinos
Garganta del Villar,Ávila,Garganta del Villar
Gavilanes,Ávila,Gavilanes
Gemuño,Ávila,Gemuño
Gil García,Ávila,Gil García
Gilbuena,Ávila,Gilbuena
Gimialcón,Ávila,Gimialcón
Gotarrendura,Ávila,Gotarrendura
Grandes y San Martín,Ávila,Grandes y San Martín
Guisando,Ávila,Guisando
Gutierre-Muñoz,Ávila,Gutierre-Muñoz
Hernansancho,Ávila,Hernansancho
Herradón de Pinares,Ávila,Herradón de Pinares
Herreros de Suso,Ávila,Herreros de Suso
Higuera de las Dueñas,Ávila,Higuera de las Dueñas
Hija de Dios (La),Ávila,La Hija de Dios
Horcajada (La),Ávila,La Horcajada
Horcajo de las Torres,Ávila,Horcajo de las Torres
Hornillo (El),Ávila,El Hornillo
Hoyo de Pinares (El),Ávila,El Hoyo de Pinares
Hoyocasero,Ávila,Hoyocasero
Hoyorredondo,Ávila,Hoyorredondo
Hoyos de Miguel Muñoz,Ávila,Hoyos de Miguel Muñoz
Hoyos del Collado,Ávila,Hoyos del Collado
Hoyos del Espino,Ávila,Hoyos del Espino
Hurtumpascual,Ávila,Hurtumpascual
Junciana,Ávila,Junciana
Langa,Ávila,Langa
Lanzahíta,Ávila,Lanzahíta
Llanos de Tormes (Los),Ávila,Los Llanos de Tormes
Losar del Barco (El),Ávila,El Losar del Barco
Madrigal de las Altas Torres,Ávila,Madrigal de las Altas Torres
Maello,Ávila,Maello
Malpartida de Corneja,Ávila,Malpartida de Corneja
Mamblas,Ávila,Mamblas
Mancera de Arriba,Ávila,Mancera de Arriba
Manjabálago y Ortigosa de Rioalmar,Ávila,Manjabálago y Ortigosa de Rioalmar
Marlín,Ávila,Marlín
Martiherrero,Ávila,Martiherrero
Martínez,Ávila,Martínez
Mediana de Voltoya,Ávila,Mediana de Voltoya
Medinilla,Ávila,Medinilla
Mengamuñoz,Ávila,Mengamuñoz
Mesegar de Corneja,Ávila,Mesegar de Corneja
Mijares,Ávila,Mijares
Mingorría,Ávila,Mingorría
Mirón (El),Ávila,El Mirón
Mironcillo,Ávila,Mironcillo
Mirueña de los Infanzones,Ávila,Mirueña de los Infanzones
Mombeltrán,Ávila,Mombeltrán
Monsalupe,Ávila,Monsalupe
Moraleja de Matacabras,Ávila,Moraleja de Matacabras
Muñana,Ávila,Muñana
Muñico,Ávila,Muñico
Muñogalindo,Ávila,Muñogalindo
Muñogrande,Ávila,Muñogrande
Muñomer del Peco,Ávila,Muñomer del Peco
Muñopepe,Ávila,Muñopepe
Muñosancho,Ávila,Muñosancho
Muñotello,Ávila,Muñotello
Narrillos del Álamo,Ávila,Narrillos del Álamo
Narrillos del Rebollar,Ávila,Narrillos del Rebollar
Narros de Saldueña,Ávila,Narros de Saldueña
Narros del Castillo,Ávila,Narros del Castillo
Narros del Puerto,Ávila,Narros del Puerto
Nava de Arévalo,Ávila,Nava de Arévalo
Nava del Barco,Ávila,Nava del Barco
Navacepedilla de Corneja,Ávila,Navacepedilla de Corneja
Navadijos,Ávila,Navadijos
Navaescurial,Ávila,Navaescurial
Navahondilla,Ávila,Navahondilla
Navalacruz,Ávila,Navalacruz
Navalmoral,Ávila,Navalmoral
Navalonguilla,Ávila,Navalonguilla
Navalosa,Ávila,Navalosa
Navalperal de Pinares,Ávila,Navalperal de Pinares
Navalperal de Tormes,Ávila,Navalperal de Tormes
Navaluenga,Ávila,Navaluenga
Navaquesera,Ávila,Navaquesera
Navarredonda de Gredos,Ávila,Navarredonda de Gredos
Navarredondilla,Ávila,Navarredondilla
Navarrevisca,Ávila,Navarrevisca
Navas del Marqués (Las),Ávila,Las Navas del Marqués
Navatalgordo,Ávila,Navatalgordo
Navatejares,Ávila,Navatejares
Neila de San Miguel,Ávila,Neila de San Miguel
Niharra,Ávila,Niharra
Ojos-Albos,Ávila,Ojos-Albos
Orbita,Ávila,Orbita
Oso (El),Ávila,El Oso
Padiernos,Ávila,Padiernos
Pajares de Adaja,Ávila,Pajares de Adaja
Palacios de Goda,Ávila,Palacios de Goda
Papatrigo,Ávila,Papatrigo
Parral (El),Ávila,El Parral
Pascualcobo,Ávila,Pascualcobo
Pedro Bernardo,Ávila,Pedro Bernardo
Pedro-Rodríguez,Ávila,Pedro-Rodríguez
Peguerinos,Ávila,Peguerinos
Peñalba de Ávila,Ávila,Peñalba de Ávila
Piedrahíta,Ávila,Piedrahíta
Piedralaves,Ávila,Piedralaves
Poveda,Ávila,Poveda
Poyales del Hoyo,Ávila,Poyales del Hoyo
Pozanco,Ávila,Pozanco
Pradosegar,Ávila,Pradosegar
Puerto Castilla,Ávila,Puerto Castilla
Rasueros,Ávila,Rasueros
Riocabado,Ávila,Riocabado
Riofrío,Ávila,Riofrío
Rivilla de Barajas,Ávila,Rivilla de Barajas
Salobral,Ávila,Salobral
Salvadiós,Ávila,Salvadiós
San Bartolomé de Béjar,Ávila,San Bartolomé de Béjar
San Bartolomé de Corneja,Ávila,San Bartolomé de Corneja
San Bartolomé de Pinares,Ávila,San Bartolomé de Pinares
San Esteban de los Patos,Ávila,San Esteban de los Patos
San Esteban de Zapardiel,Ávila,San Esteban de Zapardiel
San Esteban del Valle,Ávila,San Esteban del Valle
San García de Ingelmos,Ávila,San García de Ingelmos
San Juan de Gredos,Ávila,San Juan de Gredos
San Juan de la Encinilla,Ávila,San Juan de la Encinilla
San Juan de la Nava,Ávila,San Juan de la Nava
San Juan del Molinillo,Ávila,San Juan del Molinillo
San Juan del Olmo,Ávila,San Juan del Olmo
San Lorenzo de Tormes,Ávila,San Lorenzo de Tormes
San Martín de la Vega del Alberche,Ávila,San Martín de la Vega del Alberche
San Martín del Pimpollar,Ávila,San Martín del Pimpollar
San Miguel de Corneja,Ávila,San Miguel de Corneja
San Miguel de Serrezuela,Ávila,San Miguel de Serrezuela
San Pascual,Ávila,San Pascual
San Pedro del Arroyo,Ávila,San Pedro del Arroyo
San Vicente de Arévalo,Ávila,San Vicente de Arévalo
Sanchidrián,Ávila,Sanchidrián
Sanchorreja,Ávila,Sanchorreja
Santa Cruz de Pinares,Ávila,Santa Cruz de Pinares
Santa Cruz del Valle,Ávila,Santa Cruz del Valle
Santa María de los Caballeros,Ávila,Santa María de los Caballeros
Santa María del Arroyo,Ávila,Santa María del Arroyo
Santa María del Berrocal,Ávila,Santa María del Berrocal
Santa María del Cubillo,Ávila,Santa María del Cubillo
Santa María del Tiétar,Ávila,Santa María del Tiétar
Santiago del Collado,Ávila,Santiago del Collado
Santiago del Tormes,Ávila,Santiago del Tormes
Santo Domingo de las Posadas,Ávila,Santo Domingo de las Posadas
Santo Tomé de Zabarcos,Ávila,Santo Tomé de Zabarcos
Serrada (La),Ávila,La Serrada
Serranillos,Ávila,Serranillos
Sigeres,Ávila,Sigeres
Sinlabajos,Ávila,Sinlabajos
Solana de Ávila,Ávila,Solana de Ávila
Solana de Rioalmar,Ávila,Solana de Rioalmar
Solosancho,Ávila,Solosancho
Sotalbo,Ávila,Sotalbo
Sotillo de la Adrada,Ávila,Sotillo de la Adrada
Tiemblo (El),Ávila,El Tiemblo
Tiñosillos,Ávila,Tiñosillos
Tolbaños,Ávila,Tolbaños
Tormellas,Ávila,Tormellas
Tornadizos de Ávila,Ávila,Tornadizos de Ávila
Torre (La),Ávila,La Torre
Tórtoles,Ávila,Tórtoles
Umbrías,Ávila,Umbrías
Vadillo de la Sierra,Ávila,Vadillo de la Sierra
Valdecasa,Ávila,Valdecasa
Vega de Santa María,Ávila,Vega de Santa María
Velayos,Ávila,Velayos
Villaflor,Ávila,Villaflor
Villafranca de la Sierra,Ávila,Villafranca de la Sierra
Villanueva de Ávila,Ávila,Villanueva de Ávila
Villanueva de Gómez,Ávila,Villanueva de Gómez
Villanueva del Aceral,Ávila,Villanueva del Aceral
Villanueva del Campillo,Ávila,Villanueva del Campillo
Villar de Corneja,Ávila,Villar de Corneja
Villarejo del Valle,Ávila,Villarejo del Valle
Villatoro,Ávila,Villatoro
Viñegra de Moraña,Ávila,Viñegra de Moraña
Vita,Ávila,Vita
Zapardiel de la Cañada,Ávila,Zapardiel de la Cañada
Zapardiel de la Ribera,Ávila,Zapardiel de la Ribera
Acedera,Badajoz,Acedera
Aceuchal,Badajoz,Aceuchal
Ahillones,Badajoz,Ahillones
Alange,Badajoz,Alange
Albuera (La),Badajoz,La Albuera
Alburquerque,Badajoz,Alburquerque
Alconchel,Badajoz,Alconchel
Alconera,Badajoz,Alconera
Aljucén,Badajoz,Aljucén
Almendral,Badajoz,Almendral
Almendralejo,Badajoz,Almendralejo
Arroyo de San Serván,Badajoz,Arroyo de San Serván
Atalaya,Badajoz,Atalaya
Azuaga,Badajoz,Azuaga
Badajoz,Badajoz,Badajoz
Barcarrota,Badajoz,Barcarrota
Baterno,Badajoz,Baterno
Benquerencia de la Serena,Badajoz,Benquerencia de la Serena
Berlanga,Badajoz,Berlanga
Bienvenida,Badajoz,Bienvenida
Bodonal de la Sierra,Badajoz,Bodonal de la Sierra
Burguillos del Cerro,Badajoz,Burguillos del Cerro
Cabeza del Buey,Badajoz,Cabeza del Buey
Cabeza la Vaca,Badajoz,Cabeza la Vaca
Calamonte,Badajoz,Calamonte
Calera de León,Badajoz,Calera de León
Calzadilla de los Barros,Badajoz,Calzadilla de los Barros
Campanario,Badajoz,Campanario
Campillo de Llerena,Badajoz,Campillo de Llerena
Capilla,Badajoz,Capilla
Carmonita,Badajoz,Carmonita
Carrascalejo (El),Badajoz,El Carrascalejo
Casas de Don Pedro,Badajoz,Casas de Don Pedro
Casas de Reina,Badajoz,Casas de Reina
Castilblanco,Badajoz,Castilblanco
Castuera,Badajoz,Castuera
Cheles,Badajoz,Cheles
Codosera (La),Badajoz,La Codosera
Cordobilla de Lácara,Badajoz,Cordobilla de Lácara
Coronada (La),Badajoz,La Coronada
Corte de Peleas,Badajoz,Corte de Peleas
Cristina,Badajoz,Cristina
Don Álvaro,Badajoz,Don Álvaro
Don Benito,Badajoz,Don Benito
Entrín Bajo,Badajoz,Entrín Bajo
Esparragalejo,Badajoz,Esparragalejo
Esparragosa de la Serena,Badajoz,Esparragosa de la Serena
Esparragosa de Lares,Badajoz,Esparragosa de Lares
Feria,Badajoz,Feria
Fregenal de la Sierra,Badajoz,Fregenal de la Sierra
Fuenlabrada de los Montes,Badajoz,Fuenlabrada de los Montes
