municipio,provincia,municipio_nombre_humano,precio_m2_venta,num_casas_venta
Aguilón,Zaragoza,Aguilón,-,-
Agüimes,Las Palmas,Agüimes,1169.93,146
Agullana,Girona,Agullana,1347.95,13
Agullent,Valencia,Agullent,872.5,71
Agulo,Santa Cruz de Tenerife,Agulo,-,-
Agurain/Salvatierra,Álava,Agurain/Salvatierra,1397.02,38
Ahigal,Cáceres,Ahigal,630.27,9
Ahigal de los Aceiteros,Salamanca,Ahigal de los Aceiteros,0,0
Ahigal de Villarino,Salamanca,Ahigal de Villarino,0,0
Ahillones,Badajoz,Ahillones,321.86,4
Aia,Gipuzkoa,Aia,793.94,17
Aibar/Oibar,Navarra,Aibar,-,-
Aielo de Malferit,Valencia,Aielo de Malferit,801.72,46
Aielo de Rugat,Valencia,Aielo de Rugat,-,-
Aiguafreda,Barcelona,Aiguafreda,1732.68,34
Aiguamúrcia,Tarragona,Aiguamúrcia,1085.63,39
Aiguaviva,Girona,Aiguaviva,1967.81,10
Aigües,Alicante,Aigües,1401.71,53
Aín,Castellón,Aín,567.69,3
Aínsa-Sobrarbe,Huesca,Aínsa-Sobrarbe,1423.58,71
Ainzón,Zaragoza,Ainzón,-,-
Aisa,Huesca,Aisa,2336.65,40
Aitona,Lleida,Aitona,832.4,8
Aizarnazabal,Gipuzkoa,Aizarnazabal,-,-
Ajalvir,Madrid,Ajalvir,2252.61,64
Ajamil de Cameros,La Rioja,Ajamil de Cameros,-,-
Ajangiz,Bizkaia,Ajangiz,-,-
Ajofrín,Toledo,Ajofrín,-,-
Alacón,Teruel,Alacón,-,-
Aladrén,Zaragoza,Aladrén,-,-
Alaejos,Valladolid,Alaejos,-,-
Alagón,Zaragoza,Alagón,-,-
Alagón del Río,Cáceres,Alagón del Río,1140.35,2
Alaior,Illes Balears,Alaior,2951.21,285
Alájar,Huelva,Alájar,1096.96,10
Alajeró,Santa Cruz de Tenerife,Alajeró,-,-
Alameda,Málaga,Alameda,696.46,72
Alameda de Gardón (La),Salamanca,La Alameda de Gardón,0,0
Alameda de la Sagra,Toledo,Alameda de la Sagra,1163.01,59
Alameda del Valle,Madrid,Alameda del Valle,1256.2,12
Alamedilla,Granada,Alamedilla,467.42,7
Alamedilla (La),Salamanca,La Alamedilla,523.41,3
Alamillo,Ciudad Real,Alamillo,299.51,4
Alaminos,Guadalajara,Alaminos,875.0,1
Álamo (El),Madrid,El Álamo,1686.11,80
Alamús (Els),Lleida,Els Alamús,602.04,10
Alange,Badajoz,Alange,608.74,25
Alanís,Sevilla,Alanís,-,-
Alaquàs,Valencia,Alaquàs,847.97,232
Alar del Rey,Palencia,Alar del Rey,395.3,23
Alaraz,Salamanca,Alaraz,370.09,6
Alarba,Zaragoza,Alarba,-,-
Alarcón,Cuenca,Alarcón,2750.0,2
Alarilla,Guadalajara,Alarilla,423.33,2
Alaró,Illes Balears,Alaró,-,-
Alàs i Cerc,Lleida,Alàs i Cerc,-,-
Alatoz,Albacete,Alatoz,945.38,3
Alba,Teruel,Alba,-,-
Alba de Cerrato,Palencia,Alba de Cerrato,209.02,3
Alba de Tormes,Salamanca,Alba de Tormes,685.88,99
Alba de Yeltes,Salamanca,Alba de Yeltes,670.66,2
Albacete,Albacete,Albacete,1447.44,2470
Albagés (L'),Lleida,L' Albagés,-,-
Albaida,Valencia,Albaida,675.68,121
Albaida del Aljarafe,Sevilla,Albaida del Aljarafe,-,-
Albal,Valencia,Albal,872.18,209
Albalá,Cáceres,Albalá,-,-
Albaladejo,Ciudad Real,Albaladejo,238.65,10
Albaladejo del Cuende,Cuenca,Albaladejo del Cuende,306.75,2
Albalat de la Ribera,Valencia,Albalat de la Ribera,-,-
Albalat dels Sorells,Valencia,Albalat dels Sorells,755.81,36
Albalat dels Tarongers,Valencia,Albalat dels Tarongers,892.85,67
Albalate de Cinca,Huesca,Albalate de Cinca,390.51,7
Albalate de las Nogueras,Cuenca,Albalate de las Nogueras,381.75,6
Albalate de Zorita,Guadalajara,Albalate de Zorita,898.32,73
Albalate del Arzobispo,Teruel,Albalate del Arzobispo,-,-
Albalatillo,Huesca,Albalatillo,533.33,1
Albanchez,Almería,Albanchez,232.73,14
Albanchez de Mágina,Jaén,Albanchez de Mágina,1023.48,10
Albanyà,Girona,Albanyà,574.71,3
Albares,Guadalajara,Albares,391.13,11
Albarracín,Teruel,Albarracín,-,-
Albarreal de Tajo,Toledo,Albarreal de Tajo,900.0,20
Albatana,Albacete,Albatana,213.28,4
Albatàrrec,Lleida,Albatàrrec,1403.28,57
Albatera,Alicante,Albatera,963.39,139
Albelda,Huesca,Albelda,431.64,7
Albelda de Iregua,La Rioja,Albelda de Iregua,1165.09,107
Albendea,Cuenca,Albendea,285.0,1
Albendiego,Guadalajara,Albendiego,128.05,1
Albentosa,Teruel,Albentosa,-,-
Alberca (La),Salamanca,La Alberca,961.88,14
Alberca de Záncara (La),Cuenca,La Alberca de Záncara,450.1,18
Alberguería de Argañán (La),Salamanca,La Alberguería de Argañán,533.33,1
Alberic,Valencia,Alberic,863.93,225
Alberite,La Rioja,Alberite,1002.62,79
Alberite de San Juan,Zaragoza,Alberite de San Juan,-,-
Albero Alto,Huesca,Albero Alto,0,0
Albero Bajo,Huesca,Albero Bajo,4285.71,1
Alberuela de Tubo,Huesca,Alberuela de Tubo,512.53,3
Albesa,Lleida,Albesa,442.63,8
Albeta,Zaragoza,Albeta,-,-
Albi (L'),Lleida,L' Albi,-,-
Albillos,Burgos,Albillos,752.0,5
Albinyana,Tarragona,Albinyana,1887.69,87
Albiol (L'),Tarragona,L' Albiol,-,-
Albiztur,Gipuzkoa,Albiztur,-,-
Albocàsser,Castellón,Albocàsser,904.41,47
Alboloduy,Almería,Alboloduy,494.67,7
Albolote,Granada,Albolote,1140.17,572
Albondón,Granada,Albondón,664.9,9
Albons,Girona,Albons,2324.94,14
Alborache,Valencia,Alborache,-,-
Alboraia/Alboraya,Valencia,Alboraia,-,-
Alborea,Albacete,Alborea,395.31,20
Alborge,Zaragoza,Alborge,-,-
Albornos,Ávila,Albornos,322.86,4
Albox,Almería,Albox,774.71,290
Albudeite,Murcia,Albudeite,471.7,14
Albuera (La),Badajoz,La Albuera,713.26,22
Albuixech,Valencia,Albuixech,1490.57,46
Albuñán,Granada,Albuñán,276.91,3
Albuñol,Granada,Albuñol,832.94,60
Albuñuelas,Granada,Albuñuelas,582.13,44
Alburquerque,Badajoz,Alburquerque,610.4,35
Alcabón,Toledo,Alcabón,1013.51,40
Alcadozo,Albacete,Alcadozo,222.91,6
Alcaine,Teruel,Alcaine,-,-
Alcalá de Ebro,Zaragoza,Alcalá de Ebro,-,-
Alcalá de Guadaíra,Sevilla,Alcalá de Guadaíra,1315.8,1154
Alcalá de Gurrea,Huesca,Alcalá de Gurrea,366.09,7
Alcalá de Henares,Madrid,Alcalá de Henares,2284.02,812
Alcalá de la Selva,Teruel,Alcalá de la Selva,451.39,67
Alcalá de la Vega,Cuenca,Alcalá de la Vega,0,0
Alcalá de los Gazules,Cádiz,Alcalá de los Gazules,1030.67,93
Alcalá de Moncayo,Zaragoza,Alcalá de Moncayo,1051.42,6
Alcalà de Xivert,Castellón,Alcalà de Xivert,1661.11,449
Alcalá del Júcar,Albacete,Alcalá del Júcar,586.47,16
Alcalá del Obispo,Huesca,Alcalá del Obispo,358.57,6
Alcalá del Río,Sevilla,Alcalá del Río,876.49,163
Alcalá del Valle,Cádiz,Alcalá del Valle,642.39,17
Alcalá la Real,Jaén,Alcalá la Real,671.22,182
Alcalalí,Alicante,Alcalalí,1660.47,93
Alcampell,Huesca,Alcampell,409.44,10
Alcanadre,La Rioja,Alcanadre,515.85,11
Alcanar,Tarragona,Alcanar,1332.45,586
Alcanó,Lleida,Alcanó,205.2,4
Alcántara,Cáceres,Alcántara,761.6,14
Alcantarilla,Murcia,Alcantarilla,979.35,580
Alcàntera de Xúquer,Valencia,Alcàntera de Xúquer,-,-
Alcantud,Cuenca,Alcantud,445.71,3
Alcañices,Zamora,Alcañices,-,-
Alcañiz,Teruel,Alcañiz,820.12,104
Alcañizo,Toledo,Alcañizo,-,-
Alcaracejos,Córdoba,Alcaracejos,1448.25,16
Alcaraz,Albacete,Alcaraz,666.27,21
Alcarràs,Lleida,Alcarràs,-,-
Alcàsser,Valencia,Alcàsser,973.14,118
Alcaucín,Málaga,Alcaucín,1188.79,157
Alcaudete,Jaén,Alcaudete,435.21,105
Alcaudete de la Jara,Toledo,Alcaudete de la Jara,398.61,61
Alcázar de San Juan,Ciudad Real,Alcázar de San Juan,736.85,347
Alcázar del Rey,Cuenca,Alcázar del Rey,440.4,10
Alcazarén,Valladolid,Alcazarén,-,-
Alcázares (Los),Murcia,Los Alcázares,1679.98,1529
Alcoba,Ciudad Real,Alcoba,628.47,4
Alcobendas,Madrid,Alcobendas,3045.4,311
Alcocer,Guadalajara,Alcocer,469.83,9
Alcocer de Planes,Alicante,Alcocer de Planes,711.51,8
Alcocero de Mola,Burgos,Alcocero de Mola,252.25,3
Alcohujate,Cuenca,Alcohujate,0,0
Alcolea,Almería,Alcolea,1127.31,32
Alcolea de Calatrava,Ciudad Real,Alcolea de Calatrava,579.46,28
Alcolea de Cinca,Huesca,Alcolea de Cinca,404.38,11
Alcolea de las Peñas,Guadalajara,Alcolea de las Peñas,540.73,2
Alcolea de Tajo,Toledo,Alcolea de Tajo,-,-
Alcolea del Pinar,Guadalajara,Alcolea del Pinar,249.64,7
Alcolea del Río,Sevilla,Alcolea del Río,-,-
Alcoleja,Alicante,Alcoleja,-,-
Alcoletge,Lleida,Alcoletge,1621.87,32
Alcollarín,Cáceres,Alcollarín,242.7,5
Alconaba,Soria,Alconaba,-,-
Alconada,Salamanca,Alconada,240.0,1
Alconada de Maderuelo,Segovia,Alconada de Maderuelo,-,-
Alconchel,Badajoz,Alconchel,1147.31,19
Alconchel de Ariza,Zaragoza,Alconchel de Ariza,-,-
Alconchel de la Estrella,Cuenca,Alconchel de la Estrella,430.06,4
Alconera,Badajoz,Alconera,1300.0,1
Alcóntar,Almería,Alcóntar,298.3,1
Alcora (l'),Castellón,L' Alcora,-,-
Alcorcón,Madrid,Alcorcón,2424.09,395
Alcorisa,Teruel,Alcorisa,-,-
Alcoroches,Guadalajara,Alcoroches,427.07,2
Alcover,Tarragona,Alcover,-,-
Alcoy/Alcoi,Alicante,Alcoy,-,-
Alcubierre,Huesca,Alcubierre,375.18,4
Alcubilla de Avellaneda,Soria,Alcubilla de Avellaneda,-,-
Alcubilla de las Peñas,Soria,Alcubilla de las Peñas,-,-
Alcubilla de Nogales,Zamora,Alcubilla de Nogales,-,-
Alcubillas,Ciudad Real,Alcubillas,260.0,7
Alcublas,Valencia,Alcublas,274.65,16
Alcúdia,Illes Balears,Alcúdia,3515.58,399
Alcúdia (l'),Valencia,L' Alcúdia,-,-
Alcúdia de Crespins (l'),Valencia,L' Alcúdia de Crespins,-,-
Alcudia de Monteagud,Almería,Alcudia de Monteagud,731.18,5
Alcudia de Veo,Castellón,Alcudia de Veo,1014.45,3
Alcuéscar,Cáceres,Alcuéscar,526.51,42
Aldaia,Valencia,Aldaia,1133.16,256
Aldea (L'),Tarragona,L' Aldea,-,-
Aldea de San Miguel,Valladolid,Aldea de San Miguel,-,-
Aldea de San Nicolás (La),Las Palmas,La Aldea de San Nicolás,-,-
Aldea del Cano,Cáceres,Aldea del Cano,261.36,25
Aldea del Fresno,Madrid,Aldea del Fresno,2185.29,44
Aldea del Obispo,Salamanca,Aldea del Obispo,330.58,3
Aldea del Obispo (La),Cáceres,La Aldea del Obispo,-,-
Aldea del Rey,Ciudad Real,Aldea del Rey,317.96,14
Aldea en Cabo,Toledo,Aldea en Cabo,-,-
Aldea Real,Segovia,Aldea Real,194.25,3
Aldeacentenera,Cáceres,Aldeacentenera,337.4,19
Aldeacipreste,Salamanca,Aldeacipreste,208.11,8
Aldeadávila de la Ribera,Salamanca,Aldeadávila de la Ribera,597.66,14
Aldealafuente,Soria,Aldealafuente,-,-
Aldealcorvo,Segovia,Aldealcorvo,-,-
Aldealengua,Salamanca,Aldealengua,964.08,46
Aldealengua de Pedraza,Segovia,Aldealengua de Pedraza,-,-
Aldealengua de Santa María,Segovia,Aldealengua de Santa María,-,-
Aldealices,Soria,Aldealices,-,-
Aldealpozo,Soria,Aldealpozo,-,-
Aldealseñor,Soria,Aldealseñor,-,-
Aldeamayor de San Martín,Valladolid,Aldeamayor de San Martín,892.33,86
Aldeanueva de Barbarroya,Toledo,Aldeanueva de Barbarroya,-,-
Aldeanueva de Ebro,La Rioja,Aldeanueva de Ebro,892.01,5
Aldeanueva de Figueroa,Salamanca,Aldeanueva de Figueroa,159.1,2
Aldeanueva de Guadalajara,Guadalajara,Aldeanueva de Guadalajara,0,0
Aldeanueva de la Serrezuela,Segovia,Aldeanueva de la Serrezuela,-,-
Aldeanueva de la Sierra,Salamanca,Aldeanueva de la Sierra,358.36,4
Aldeanueva de la Vera,Cáceres,Aldeanueva de la Vera,824.34,46
Aldeanueva de San Bartolomé,Toledo,Aldeanueva de San Bartolomé,-,-
Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz,527.07,3
Aldeanueva del Camino,Cáceres,Aldeanueva del Camino,311.83,5
Aldeanueva del Codonal,Segovia,Aldeanueva del Codonal,-,-
Aldeaquemada,Jaén,Aldeaquemada,668.96,6
Aldearrodrigo,Salamanca,Aldearrodrigo,0,0
Aldearrubia,Salamanca,Aldearrubia,729.73,17
Aldeaseca,Ávila,Aldeaseca,702.48,1
Aldeaseca de Alba,Salamanca,Aldeaseca de Alba,0,0
Aldeaseca de la Frontera,Salamanca,Aldeaseca de la Frontera,217.87,3
Aldeasoña,Segovia,Aldeasoña,-,-
Aldeatejada,Salamanca,Aldeatejada,1113.42,34
Aldeavieja de Tormes,Salamanca,Aldeavieja de Tormes,0,0
Aldehorno,Segovia,Aldehorno,0,0
Aldehuela (La),Ávila,La Aldehuela,564.68,9
Aldehuela de Jerte,Cáceres,Aldehuela de Jerte,-,-
Aldehuela de la Bóveda,Salamanca,Aldehuela de la Bóveda,283.28,4
Aldehuela de Liestos,Zaragoza,Aldehuela de Liestos,-,-
Aldehuela de Periáñez,Soria,Aldehuela de Periáñez,-,-
Aldehuela de Yeltes,Salamanca,Aldehuela de Yeltes,444.03,5
Aldehuela del Codonal,Segovia,Aldehuela del Codonal,-,-
Aldehuelas (Las),Soria,Las Aldehuelas,-,-
Aldeire,Granada,Aldeire,542.17,14
Aldeonte,Segovia,Aldeonte,-,-
Aldover,Tarragona,Aldover,-,-
Aledo,Murcia,Aledo,982.35,22
Alegia,Gipuzkoa,Alegia,2827.44,11
Alegría-Dulantzi,Álava,Alegría-Dulantzi,1675.25,44
Aleixar (L'),Tarragona,L' Aleixar,-,-
Alella,Barcelona,Alella,3278.05,214
Alentisque,Soria,Alentisque,-,-
Alerre,Huesca,Alerre,1875.0,1
Alesanco,La Rioja,Alesanco,970.68,85
Alesón,La Rioja,Alesón,207.51,3
Alfacar,Granada,Alfacar,798.65,123
Alfafar,Valencia,Alfafar,1024.45,261
Alfafara,Alicante,Alfafara,609.82,4
Alfajarín,Zaragoza,Alfajarín,963.13,12
Alfambra,Teruel,Alfambra,-,-
Alfamén,Zaragoza,Alfamén,-,-
Alfántega,Huesca,Alfántega,444.98,2
Alfara de Carles,Tarragona,Alfara de Carles,-,-
Alfara de la Baronia,Valencia,Alfara de la Baronia,458.82,30
Alfara del Patriarca,Valencia,Alfara del Patriarca,-,-
Alfaraz de Sayago,Zamora,Alfaraz de Sayago,-,-
Alfarnate,Málaga,Alfarnate,1490.48,15
Alfarnatejo,Málaga,Alfarnatejo,1230.31,16
Alfaro,La Rioja,Alfaro,775.14,44
Alfarp,Valencia,Alfarp,833.33,24
Alfarràs,Lleida,Alfarràs,-,-
Alfarrasí,Valencia,Alfarrasí,-,-
Alfàs del Pi (l'),Alicante,L' Alfàs del Pi,-,-
Alfauir,Valencia,Alfauir,-,-
Alfés,Lleida,Alfés,1628.57,1
Alfondeguilla,Castellón,Alfondeguilla,612.31,11
Alforja,Tarragona,Alforja,1035.26,40
Alforque,Zaragoza,Alforque,-,-
Alfoz,Lugo,Alfoz,447.15,18
Alfoz de Bricia,Burgos,Alfoz de Bricia,308.03,5
Alfoz de Lloredo,Cantabria,Alfoz de Lloredo,1170.8,135
Alfoz de Quintanadueñas,Burgos,Alfoz de Quintanadueñas,968.5,37
Alfoz de Santa Gadea,Burgos,Alfoz de Santa Gadea,277.5,5
Algaba (La),Sevilla,La Algaba,1011.66,111
Algadefe,León,Algadefe,233.33,1
Algaida,Illes Balears,Algaida,2232.62,112
Algámitas,Sevilla,Algámitas,-,-
Algar,Cádiz,Algar,841.95,17
Algar de Mesa,Guadalajara,Algar de Mesa,0,0
Algar de Palancia,Valencia,Algar de Palancia,-,-
Algarinejo,Granada,Algarinejo,628.82,24
Algarra,Cuenca,Algarra,0,0
Algarrobo,Málaga,Algarrobo,1459.39,127
Algatocín,Málaga,Algatocín,1196.49,7
Algeciras,Cádiz,Algeciras,1211.89,1160
Algemesí,Valencia,Algemesí,636.86,423
Algerri,Lleida,Algerri,203.89,10
Algete,Madrid,Algete,1725.1,125
Algímia d'Alfara,Valencia,Algímia d'Alfara,-,-
Algimia de Almonacid,Castellón,Algimia de Almonacid,468.34,12
Alginet,Valencia,Alginet,699.72,241
Algodonales,Cádiz,Algodonales,895.1,37
Algodre,Zamora,Algodre,-,-
Algora,Guadalajara,Algora,329.45,3
Algorfa,Alicante,Algorfa,2734.38,330
Alguaire,Lleida,Alguaire,539.27,63
Alguazas,Murcia,Alguazas,543.54,166
Algueña,Alicante,Algueña,144.03,65
Alhabia,Almería,Alhabia,562.66,11
Alhama de Almería,Almería,Alhama de Almería,859.09,79
Alhama de Aragón,Zaragoza,Alhama de Aragón,-,-
Alhama de Granada,Granada,Alhama de Granada,880.78,142
Alhama de Murcia,Murcia,Alhama de Murcia,1399.79,354
Alhambra,Ciudad Real,Alhambra,373.77,15
Alhaurín de la Torre,Málaga,Alhaurín de la Torre,1903.64,857
Alhaurín el Grande,Málaga,Alhaurín el Grande,1207.69,541
Alhendín,Granada,Alhendín,1167.93,238
Alhóndiga,Guadalajara,Alhóndiga,0,0
Alía,Cáceres,Alía,517.26,20
Aliaga,Teruel,Aliaga,-,-
Aliaguilla,Cuenca,Aliaguilla,348.37,13
Alicante/Alacant,Alicante,Alicante,2539.44,72396
Alicún,Almería,Alicún,345.91,3
Alicún de Ortega,Granada,Alicún de Ortega,0,0
Alija del -antado,León,Alija del -antado,421.45,17
Alins,Lleida,Alins,1627.53,16
Alió,Tarragona,Alió,929.49,6
Alique,Guadalajara,Alique,365.02,3
Aliseda,Cáceres,Aliseda,723.93,27
Aliud,Soria,Aliud,-,-
Aljaraque,Huelva,Aljaraque,1296.6,157
Aljucén,Badajoz,Aljucén,769.91,2
Alkiza,Gipuzkoa,Alkiza,2173.91,3
Allande,Asturias,Allande,464.44,22
Allariz,Ourense,Allariz,700.6,128
Allepuz,Teruel,Allepuz,-,-
Aller,Asturias,Aller,621.75,389
Allín/Allin,Navarra,Allín/Allin,577.81,11
Allo,Navarra,Allo,365.38,20
Alloza,Teruel,Alloza,-,-
Allueva,Teruel,Allueva,-,-
Almacelles,Lleida,Almacelles,755.66,46
Almáchar,Málaga,Almáchar,974.83,60
Almadén,Ciudad Real,Almadén,576.16,84
Almadén de la Plata,Sevilla,Almadén de la Plata,-,-
Almadenejos,Ciudad Real,Almadenejos,282.12,5
Almadrones,Guadalajara,Almadrones,1043.48,1
Almagro,Ciudad Real,Almagro,450,114
Almajano,Soria,Almajano,-,-
Almaluez,Soria,Almaluez,-,-
Almansa,Albacete,Almansa,777.25,321
Almanza,León,Almanza,336.84,9
Almaraz,Cáceres,Almaraz,583.82,5
Almaraz de Duero,Zamora,Almaraz de Duero,-,-
Almarcha (La),Cuenca,La Almarcha,411.95,9
Almargen,Málaga,Almargen,668.43,18
Almarza,Soria,Almarza,416.56,11
Almarza de Cameros,La Rioja,Almarza de Cameros,344.93,3
Almàssera,Valencia,Almàssera,1216.12,61
Almassora,Castellón,Almassora,-,-
Almatret,Lleida,Almatret,267.3,4
Almazán,Soria,Almazán,-,-
Almazul,Soria,Almazul,-,-
Almedíjar,Castellón,Almedíjar,785.85,3
Almedina,Ciudad Real,Almedina,417.79,2
Almedinilla,Córdoba,Almedinilla,695.65,22
Almegíjar,Granada,Almegíjar,565.9,9
Almeida de Sayago,Zamora,Almeida de Sayago,-,-
Almenar,Lleida,Almenar,754.61,24
Almenar de Soria,Soria,Almenar de Soria,-,-
Almenara,Castellón,Almenara,1282.27,158
Almenara de Adaja,Valladolid,Almenara de Adaja,-,-
Almenara de Tormes,Salamanca,Almenara de Tormes,793.25,10
Almendra,Salamanca,Almendra,234.94,5
Almendral,Badajoz,Almendral,590.83,20
Almendral de la Cañada,Toledo,Almendral de la Cañada,-,-
Almendralejo,Badajoz,Almendralejo,596.15,358
Almendro (El),Huelva,El Almendro,564.15,9
Almendros,Cuenca,Almendros,295.71,8
Almensilla,Sevilla,Almensilla,-,-
Almería,Almería,Almería,1570.81,2426
Almiserà,Valencia,Almiserà,-,-
Almochuel,Zaragoza,Almochuel,-,-
Almócita,Almería,Almócita,366.67,1
Almodóvar del Campo,Ciudad Real,Almodóvar del Campo,615.85,78
Almodóvar del Pinar,Cuenca,Almodóvar del Pinar,758.26,6
Almodóvar del Río,Córdoba,Almodóvar del Río,859.34,171
Almogía,Málaga,Almogía,1966.05,97
Almoguera,Guadalajara,Almoguera,520.24,12
Almohaja,Teruel,Almohaja,-,-
Almoharín,Cáceres,Almoharín,524.81,20
Almoines,Valencia,Almoines,900.0,65
Almolda (La),Zaragoza,La Almolda,-,-
Almonacid de la Cuba,Zaragoza,Almonacid de la Cuba,-,-
Almonacid de la Sierra,Zaragoza,Almonacid de la Sierra,-,-
Almonacid de Toledo,Toledo,Almonacid de Toledo,-,-
Almonacid de Zorita,Guadalajara,Almonacid de Zorita,490.94,26
Almonacid del Marquesado,Cuenca,Almonacid del Marquesado,328.25,6
Almonaster la Real,Huelva,Almonaster la Real,772.38,43
Almonte,Huelva,Almonte,1877.25,483
Almoradí,Alicante,Almoradí,919.83,405
Almorox,Toledo,Almorox,914.23,83
Almoster,Tarragona,Almoster,2733.32,33
Almudaina,Alicante,Almudaina,284.63,5
Almudévar,Huesca,Almudévar,536.36,20
Almunia de Doña Godina (La),Zaragoza,La Almunia de Doña Godina,-,-
Almunia de San Juan,Huesca,Almunia de San Juan,575.0,7
Almuniente,Huesca,Almuniente,237.45,7
Almuñécar,Granada,Almuñécar,1663.69,1088
Almuradiel,Ciudad Real,Almuradiel,520.63,8
Almussafes,Valencia,Almussafes,1065.23,30
Alobras,Teruel,Alobras,-,-
Alocén,Guadalajara,Alocén,967.61,11
Alonsotegi,Bizkaia,Alonsotegi,2516.6,19
Álora,Málaga,Álora,1239.92,360
Alòs de Balaguer,Lleida,Alòs de Balaguer,-,-
Alosno,Huelva,Alosno,646.01,8
Alovera,Guadalajara,Alovera,1530.13,100
Alozaina,Málaga,Alozaina,1272.36,44
Alp,Girona,Alp,2439.12,129
Alpandeire,Málaga,Alpandeire,1369.52,5
