Provincia,Municipio,Localidad,Nombre,Ubicación
TOLEDO,Talavera de la Reina,TALAVERA DE LA REINA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TALAVERA 1 - CENTRO
TOLEDO,Tembleque,TEMBLEQUE,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TEMBLEQUE
TOLEDO,Toledo,TOLEDO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TOLEDO5 - BUENAVISTA
TOLEDO,Toledo,TOLEDO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SANTA MARÍA BENQUERENCIA
TOLEDO,Torrijos,TORRIJOS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TORRIJOS
TOLEDO,Valmojado,VALMOJADO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VALMOJADO
TOLEDO,Velada,VELADA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VELADA
TOLEDO,Villacañas,VILLACAÑAS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLACAÑAS
TOLEDO,Villafranca de los Caballeros,VILLAFRANCA DE LOS CABALLEROS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLAFRANCA CABALLEROS
TOLEDO,Villaluenga de la Sagra,VILLALUENGA DE LA SAGRA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLALUENGA DE LA SAGRA
TOLEDO,"Yébenes, Los",YÉBENES (LOS),PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LOS YÉBENES
TOLEDO,Yepes,YEPES,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD YEPES
VALENCIA/VALÈNCIA,Ademuz,ADEMUZ,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ADEMUZ
VALENCIA/VALÈNCIA,Ador,ADOR,PUNTO DE ATENCIÓN CONTINUADA (PAC),CONSULTORIO LOCAL ADOR
VALENCIA/VALÈNCIA,Alaquàs,ALAQUÀS,PUNTO DE ATENCIÓN CONTINUADA (PAC),C.S.I. ALAQUAS
VALENCIA/VALÈNCIA,Albaida,ALBAIDA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ALBAIDA
VALENCIA/VALÈNCIA,Alberic,ALBERIC,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ALBERIC
VALENCIA/VALÈNCIA,"Alcúdia de Crespins, l'",ALCÚDIA DE CRESPINS (L'),PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD L' ALCÚDIA DE CRESPINS
VALENCIA/VALÈNCIA,"Alcúdia, l'",ALCÚDIA (L'),PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD L´ ALCUDIA
VALENCIA/VALÈNCIA,Aldaia,ALDAIA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ALDAIA
VALENCIA/VALÈNCIA,Alfafar,ALFAFAR,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ALFAFAR
VALENCIA/VALÈNCIA,Algemesí,ALGEMESÍ,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ALGEMESÍ
VALENCIA/VALÈNCIA,Alginet,ALGINET,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ALGINET
VALENCIA/VALÈNCIA,Alzira,ALZIRA,PUNTO DE ATENCIÓN CONTINUADA (PAC),C.S.I. ALZIRA II
VALENCIA/VALÈNCIA,Ayora,AYORA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD AYORA
VALENCIA/VALÈNCIA,Bellreguard,BELLREGUARD,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BELLREGUARD
VALENCIA/VALÈNCIA,Benaguasil,BENAGUASIL,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BENAGUASIL
VALENCIA/VALÈNCIA,Benifaió,BENIFAIÓ,PUNTO DE ATENCIÓN CONTINUADA (PAC),C.S.I. BENIFAIÓ
VALENCIA/VALÈNCIA,Benigànim,BENIGÁNIM,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BENIGÁNIM
VALENCIA/VALÈNCIA,Bétera,BÉTERA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BÉTERA
VALENCIA/VALÈNCIA,Bocairent,BOCAIRENT,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BOCAIRENT
VALENCIA/VALÈNCIA,Buñol,BUÑOL,PUNTO DE ATENCIÓN CONTINUADA (PAC),C.S.I. BUÑOL
VALENCIA/VALÈNCIA,Canals,CANALS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CANALS
VALENCIA/VALÈNCIA,Carcaixent,CARCAIXENT,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CARCAIXENT
VALENCIA/VALÈNCIA,Càrcer,CÀRCER,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CÀRCER
VALENCIA/VALÈNCIA,Carlet,CARLET,PUNTO DE ATENCIÓN CONTINUADA (PAC),C.S.I. CARLET
VALENCIA/VALÈNCIA,Castelló,VILLANUEVA DE CASTELLÓN,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLANUEVA DE CASTELLÓN
VALENCIA/VALÈNCIA,Castelló de Rugat,CASTELLÓ DE RUGAT,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CASTELLÓ DE RUGAT
VALENCIA/VALÈNCIA,Catarroja,CATARROJA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CATARROJA
VALENCIA/VALÈNCIA,Chella,CHELLA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CHELLA
VALENCIA/VALÈNCIA,Chelva,CHELVA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CHELVA
VALENCIA/VALÈNCIA,Chera,CHERA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CONSULTORIO LOCAL CHERA
VALENCIA/VALÈNCIA,Cheste,CHESTE,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CHESTE
VALENCIA/VALÈNCIA,Chiva,CHIVA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CHIVA
VALENCIA/VALÈNCIA,Cofrentes,COFRENTES,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD COFRENTES
VALENCIA/VALÈNCIA,Cortes de Pallás,CORTES DE PALLÁS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CONSULTORIO LOCAL CORTES DE PALLÁS
VALENCIA/VALÈNCIA,Cullera,CULLERA,PUNTO DE ATENCIÓN CONTINUADA (PAC),C.S.I. CULLERA
VALENCIA/VALÈNCIA,Dos Aguas,DOS AGUAS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CONSULTORIO LOCAL DOS AGUAS
VALENCIA/VALÈNCIA,"Eliana, l'",ELIANA (L'),PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD L' ELIANA
VALENCIA/VALÈNCIA,Enguera,ENGUERA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ENGUERA
VALENCIA/VALÈNCIA,Estivella,ESTIVELLA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ESTIVELLA
VALENCIA/VALÈNCIA,Faura,FAURA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD FAURA
VALENCIA/VALÈNCIA,"Font de la Figuera, la",FONT DE LA FIGUERA (LA),PUNTO DE ATENCIÓN CONTINUADA (PAC),CONSULTORIO LOCAL LA FONT DE LA FIGUERA
VALENCIA/VALÈNCIA,Gandia,GANDIA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD GANDÍA EL GRAU
VALENCIA/VALÈNCIA,Godella,GODELLA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD GODELLA
VALENCIA/VALÈNCIA,Llíria,LLÍRIA,PUNTO DE ATENCIÓN CONTINUADA (PAC),C.S.I. LLÍRIA
VALENCIA/VALÈNCIA,Llutxent,LLUTXENT,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LLUTXENT
VALENCIA/VALÈNCIA,Manises,MANISES,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MANISES
VALENCIA/VALÈNCIA,Massamagrell,MASSAMAGRELL,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MASSAMAGRELL
VALENCIA/VALÈNCIA,Millares,MILLARES,PUNTO DE ATENCIÓN CONTINUADA (PAC),CONSULTORIO LOCAL MILLARES
VALENCIA/VALÈNCIA,Mislata,MISLATA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MISLATA
VALENCIA/VALÈNCIA,Mogente/Moixent,MOGENTE/MOIXENT,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MOIXENT / MOGENTE
VALENCIA/VALÈNCIA,Moncada,MONCADA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MONCADA
VALENCIA/VALÈNCIA,Montserrat,MONTSERRAT,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MONTSERRAT
VALENCIA/VALÈNCIA,Navarrés,NAVARRÉS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD NAVARRÉS
VALENCIA/VALÈNCIA,Oliva,OLIVA,PUNTO DE ATENCIÓN CONTINUADA (PAC),C.S.I. OLIVA
VALENCIA/VALÈNCIA,"Olleria, l'",OLLERIA (L'),PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD L´OLLERIA
VALENCIA/VALÈNCIA,Paiporta,PAIPORTA,PUNTO DE ATENCIÓN CONTINUADA (PAC),C.S.I. PAIPORTA
VALENCIA/VALÈNCIA,Paterna,PATERNA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD PATERNA
VALENCIA/VALÈNCIA,Pedralba,PEDRALBA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD PEDRALBA
VALENCIA/VALÈNCIA,Picassent,PICASSENT,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD PICASSENT
VALENCIA/VALÈNCIA,"Pobla de Vallbona, la",POBLA DE VALLBONA (LA),PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LA POBLA DE VALLBONA
VALENCIA/VALÈNCIA,"Pobla Llarga, la",POBLA LLARGA (LA),PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LA POBLA LLARGA
VALENCIA/VALÈNCIA,Puçol,PUÇOL,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD PUÇOL
VALENCIA/VALÈNCIA,Quart de Poblet,QUART DE POBLET,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD QUART DE POBLET
VALENCIA/VALÈNCIA,Requena,REQUENA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD REQUENA
VALENCIA/VALÈNCIA,Sagunto/Sagunt,PUERTO DE SAGUNTO/SAGUNT,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD PUERTO DE SAGUNTO/SAGUNT
VALENCIA/VALÈNCIA,Sagunto/Sagunt,SAGUNTO/SAGUNT,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SAGUNTO/SAGUNT
VALENCIA/VALÈNCIA,Silla,SILLA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SILLA
VALENCIA/VALÈNCIA,Tavernes de la Valldigna,TAVERNES DE LA VALLDIGNA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CONSULTORIO LOCAL TAVERNES DE LA VALLDIGNA PLAYA
VALENCIA/VALÈNCIA,Titaguas,TITAGUAS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TITAGUAS
VALENCIA/VALÈNCIA,Torrent,TORRENT,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TORRENT
VALENCIA/VALÈNCIA,Turís,TURÍS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TURÍS
VALENCIA/VALÈNCIA,Utiel,UTIEL,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD UTIEL
VALENCIA/VALÈNCIA,València,VALENCIA,PUNTO DE ATENCIÓN CONTINUADA (PAC),C.S.I. JUAN LLORENS
VALENCIA/VALÈNCIA,València,VALENCIA,PUNTO DE ATENCIÓN SANITARIA (PAS),PAS L'ALGUER
VALENCIA/VALÈNCIA,València,VALENCIA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BENIMAMET
VALENCIA/VALÈNCIA,València,VALENCIA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VALENCIA - FUENTE SAN LUIS
VALENCIA/VALÈNCIA,València,VALENCIA,PUNTO DE ATENCIÓN SANITARIA (PAS),PAS CAMPANAR
VALENCIA/VALÈNCIA,Vilamarxant,VILAMARXANT,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILAMARXANT
VALENCIA/VALÈNCIA,Villar del Arzobispo,VILLAR DEL ARZOBISPO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLAR DEL ARZOBISPO
VALENCIA/VALÈNCIA,Xàtiva,XÀTIVA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD XÁTIVA
VALENCIA/VALÈNCIA,Xirivella,XIRIVELLA,PUNTO DE ATENCIÓN CONTINUADA (PAC),C.S.I. XIRIVELLA
VALLADOLID,Alaejos,ALAEJOS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ALAEJOS
VALLADOLID,Arroyo de la Encomienda,ARROYO DE LA ENCOMIENDA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD PISUERGA
VALLADOLID,Ataquines,ATAQUINES,CENTRO DE GUARDIA (CG),CONSULTORIO LOCAL ATAQUINES
VALLADOLID,Cigales,CIGALES,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CIGALES
VALLADOLID,Esguevillas de Esgueva,ESGUEVILLAS DE ESGUEVA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ESGUEVILLAS DE ESGUEVA
VALLADOLID,Íscar,ÍSCAR,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ÍSCAR
VALLADOLID,Laguna de Duero,LAGUNA DE DUERO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LAGUNA DE DUERO
VALLADOLID,Mayorga,MAYORGA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MAYORGA
VALLADOLID,Medina de Rioseco,MEDINA DE RIOSECO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MEDINA DE RIOSECO
VALLADOLID,Medina del Campo,MEDINA DEL CAMPO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MEDINA DEL CAMPO URBANO
VALLADOLID,Mota del Marqués,MOTA DEL MARQUÉS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MOTA DEL MARQUÉS
VALLADOLID,Olmedo,OLMEDO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD OLMEDO
VALLADOLID,Peñafiel,PEÑAFIEL,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD PEÑAFIEL
VALLADOLID,Portillo,ARRABAL DE PORTILLO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD PORTILLO
VALLADOLID,Renedo de Esgueva,RENEDO DE ESGUEVA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VALLADOLID RURAL I
VALLADOLID,Serrada,SERRADA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SERRADA
VALLADOLID,Tordesillas,TORDESILLAS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TORDESILLAS
VALLADOLID,Tudela de Duero,TUDELA DE DUERO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TUDELA DE DUERO
VALLADOLID,Valladolid,VALLADOLID,PUNTO DE ATENCIÓN CONTINUADA (PAC),PAC RONDILLA
VALLADOLID,Valladolid,VALLADOLID,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO DE URGENCIAS PILARICA
VALLADOLID,Valladolid,VALLADOLID,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD DELICIAS I
VALLADOLID,Valladolid,VALLADOLID,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ARTURO EYRIES
VALLADOLID,Villafrechós,VILLAFRECHÓS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLAFRECHÓS
VALLADOLID,Villalón de Campos,VILLALÓN DE CAMPOS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLALÓN DE CAMPOS
VALLADOLID,Zaratán,ZARATÁN,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VALLADOLID RURAL II
BIZKAIA,Amorebieta-Etxano,AMOREBIETA-ETXANO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD AMOREBIETA
BIZKAIA,Balmaseda,BALMASEDA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BALMASEDA
BIZKAIA,Barakaldo,BARAKALDO,PUNTO DE ATENCIÓN CONTINUADA (PAC),PAC BARAKALDO - HOSPITAL SAN ELOY
BIZKAIA,Basauri,BASAURI,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BASAURI
BIZKAIA,Bermeo,BERMEO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BERMEO
BIZKAIA,Bilbao,BILBAO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD DEUSTO
BIZKAIA,Bilbao,BILBAO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD DR. AREILZA
BIZKAIA,Bilbao,BILBAO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BEGOÑA
BIZKAIA,Bilbao,BILBAO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD REKALDE
BIZKAIA,Durango,DURANGO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LANDAKO
BIZKAIA,Getxo,LAS ARENAS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LAS ARENAS
BIZKAIA,Gorliz,GORLIZ,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD GORLIZ
BIZKAIA,Karrantza Harana/Valle de Carranza,KARRANTZA HARANA/VALLE DE CARRANZA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CONSULTORIO LOCAL KARRANZA
BIZKAIA,Lekeitio,LEKEITIO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LEKEITIO
BIZKAIA,Mungia,MUNGIA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MUNGIA
BIZKAIA,Ondarroa,ONDARROA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ONDARROA
BIZKAIA,Ortuella,ORTUELLA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ORTUELLA
BIZKAIA,Santurtzi,SANTURTZI,PUNTO DE ATENCIÓN CONTINUADA (PAC),PAC DE SANTURTZI - HOSPITAL SAN JUAN DE DIOS
BIZKAIA,Sestao,SESTAO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD MARKONZAGA
BIZKAIA,Zalla,ZALLA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ZALLA
ZAMORA,Alcañices,ALCAÑICES,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ALISTE
ZAMORA,Benavente,BENAVENTE,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BENAVENTE SUR
ZAMORA,Bermillo de Sayago,BERMILLO DE SAYAGO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SAYAGO
ZAMORA,Camarzana de Tera,CAMARZANA DE TERA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TERA
ZAMORA,Carbajales de Alba,CARBAJALES DE ALBA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CARBAJALES
ZAMORA,Corrales del Vino,CORRALES DEL VINO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CORRALES DEL VINO
ZAMORA,Fuentesaúco,FUENTESAÚCO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LA GUAREÑA
ZAMORA,Lubián,LUBIÁN,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ALTA SANABRIA
ZAMORA,Mombuey,MOMBUEY,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CARBALLEDA
ZAMORA,Muelas del Pan,MUELAS DEL PAN,CENTRO DE GUARDIA (CG),CONSULTORIO LOCAL MUELAS DEL PAN
ZAMORA,Puebla de Sanabria,PUEBLA DE SANABRIA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SANABRIA
ZAMORA,Santibáñez de Vidriales,SANTIBÁÑEZ DE VIDRIALES,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VIDRIALES
ZAMORA,Tábara,TÁBARA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TÁBARA
ZAMORA,Toro,TORO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD TORO
ZAMORA,Villalpando,VILLALPANDO,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD VILLALPANDO
ZAMORA,Villarrín de Campos,VILLARRÍN DE CAMPOS,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CAMPOS - LAMPREANA
ZAMORA,Zamora,ZAMORA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD SANTA ELENA
ZARAGOZA,Alagón,ALAGÓN,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ALAGÓN
ZARAGOZA,Alfajarín,ALFAJARÍN,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ALFAJARÍN
ZARAGOZA,Alhama de Aragón,ALHAMA DE ARAGÓN,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ALHAMA DE ARAGÓN
ZARAGOZA,"Almunia de Doña Godina, La",ALMUNIA DE DOÑA GODINA (LA),PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD LA ALMUNIA DE DOÑA GODINA
ZARAGOZA,Ariza,ARIZA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ARIZA
ZARAGOZA,Ateca,ATECA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD ATECA
ZARAGOZA,Azuara,AZUARA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CONSULTORIO LOCAL DE AZUARA
ZARAGOZA,Belchite,BELCHITE,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BELCHITE
ZARAGOZA,Borja,BORJA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BORJA
ZARAGOZA,Bujaraloz,BUJARALOZ,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD BUJARALOZ
ZARAGOZA,Calatayud,CALATAYUD,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD CALATAYUD URBANO
ZARAGOZA,Cariñena,CARIÑENA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CARIÑENA
ZARAGOZA,Caspe,CASPE,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD CASPE
ZARAGOZA,Cuarte de Huerva,CUARTE DE HUERVA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CONSULTORIO LOCAL DE CUARTE DE HUERVA
ZARAGOZA,Daroca,DAROCA,PUNTO DE ATENCIÓN CONTINUADA (PAC),CENTRO SALUD DAROCA
ZARAGOZA,Ejea de los Caballeros,EJEA DE LOS CABALLEROS,SERVICIO DE URGENCIAS DE ATENCIÓN PRIMARIA (SUAP),CENTRO SALUD EJEA DE LOS CABALLEROS
